# civil-holidays v1
# jurisdiction: KI
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Kiribati
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. vacanza has no
#   native-language rendering registered for KI at this version, so
#   names are the honest English fallback vacanza publishes -- flagged
#   here rather than passed off as an official-language name. Not
#   independently re-verified against the government gazette, per the
#   house rule that permits vacanza-derived data as long as it is flagged
#   as such. Movable/lunar/lunisolar holidays with no closed-form rule
#   modelled here are captured as 'decree' (explicit per-year dates) for
#   2024-2025, silent outside those years rather than fabricated.
#   Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were
#   stripped and merged into the base holiday. Multi-day clusters that do
#   not reduce to a single fixed or Easter-offset rule are split into one
#   row per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | New Year's Day                           | 1 1                  | public          |  |  |  |
fixed         | International Women's Day                | 3 8                  | public          |  |  |  |
easter        | Good Friday                              | -2 gregorian         | public          |  |  |  |
easter        | Easter Monday                            | 1 gregorian          | public          |  |  |  |
fixed         | National Health Day                      | 4 19                 | public          |  |  |  |
fixed         | Gospel Day                               | 7 11                 | public          |  |  |  |
fixed         | National Day - Independence Anniversary  | 7 12                 | public          |  |  |  |
fixed         | National Day (in honor of Unimwane)      | 7 15                 | public          |  |  |  |
fixed         | National Day (in honor of Unaine)        | 7 16                 | public          |  |  |  |
fixed         | Youth Day                                | 8 5                  | public          |  |  |  |
fixed         | Human Rights and Peace Day               | 12 9                 | public          |  |  |  |
fixed         | Christmas Day                            | 12 25                | public          |  |  |  |
fixed         | Boxing Day                               | 12 26                | public          |  |  |  |
