# civil-holidays v1
# jurisdiction: IS
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Iceland
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in is via vacanza's own language support (language='is'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school (+ vacanza-parity labels, see below)
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | Nýársdagur                               | 1 1                  | public          |  |  |  |
easter        | Skírdagur                                | -3 gregorian         | public          |  |  |  |
easter        | Föstudagurinn langi                      | -2 gregorian         | public          |  |  |  |
easter        | Páskadagur                               | 0 gregorian          | public          |  |  |  |
easter        | Annar í páskum                           | 1 gregorian          | public          |  |  |  |
weekday_onbefore | Sumardagurinn fyrsti | 4 25 3 | public |  |  |  | 
fixed         | Verkalýðsdagurinn                        | 5 1                  | public          |  |  |  |
easter        | Uppstigningardagur                       | 39 gregorian         | public          |  |  |  |
easter        | Hvítasunnudagur                          | 49 gregorian         | public          |  |  |  |
easter        | Annar í hvítasunnu                       | 50 gregorian         | public          |  |  |  |
fixed         | Þjóðhátíðardagurinn                      | 6 17                 | public          |  |  |  |
nth_weekday | Frídagur verslunarmanna | 8 1 0 | public |  |  |  | 
fixed         | Jóladagur                                | 12 25                | public          |  |  |  |
fixed         | Annar í jólum                            | 12 26                | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed | Aðfangadagur (frá kl. 13.00) | 12 24 | half_day |  |
fixed | Gamlársdagur (frá kl. 13.00) | 12 31 | half_day |  |
