# civil-holidays v1
# jurisdiction: CX
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Christmas_Island
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in en_CX via vacanza's own language support (language='en_CX'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | New Year's Day                           | 1 1                  | public          |  |  |  |
fixed         | Australia Day                            | 1 26                 | public          |  |  |  |
decree        | Chinese New Year (1)                     | 2024-2-10 2025-1-29 2026-2-17 2027-2-6  | public          |  |  |  || chinese_new_year
decree        | Chinese New Year (2)                     | 2024-2-11 2025-1-30 2026-2-18 2027-2-7  | public          |  |  |  |
decree        | Labour Day                               | 2024-3-18 2025-3-24 2026-3-16 2027-3-15  | public          |  |  |  |
easter        | Good Friday                              | -2 gregorian         | public          |  |  |  |
decree        | Hari Raya Puasa                          | 2024-4-10 2025-3-31 2026-3-20 2027-3-9  | public          |  |  |  |
fixed         | ANZAC Day                                | 4 25                 | public          |  |  |  |
decree        | Hari Raya Haji                           | 2024-6-17 2025-6-7 2026-5-27 2027-5-16   | public          |  |  |  |
nth_weekday | Territory Day | 10 1 0 | public |  |  |  | 
fixed         | Christmas Day                            | 12 25                | public          |  |  |  |
fixed         | Boxing Day                               | 12 26                | public          |  |  |  |
