# civil-holidays v1
# jurisdiction: NF
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Norfolk_Island
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in en_NF via vacanza's own language support (language='en_NF'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | New Year's Day                           | 1 1                  | public          |  |  |  |
fixed         | Australia Day                            | 1 26                 | public          |  |  |  |
fixed         | Foundation Day                           | 3 6                  | public          |  |  |  |
easter        | Good Friday                              | -2 gregorian         | public          |  |  |  |
easter        | Easter Monday                            | 1 gregorian          | public          |  |  |  |
fixed         | ANZAC Day                                | 4 25                 | public          |  |  |  |
fixed         | Bounty Day                               | 6 8                  | public          |  |  |  |
weekday_onbefore | King's Birthday | 6 17 0 | public |  |  |  | 
nth_weekday | Show Day | 10 2 0 | public |  |  |  | 
nth_weekday | Thanksgiving Day | 11 -1 2 | public |  |  |  | 
fixed         | Christmas Day                            | 12 25                | public          |  |  |  |
fixed         | Boxing Day                               | 12 26                | public          |  |  |  |
