# civil-holidays v1
# jurisdiction: AD
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Andorra
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in ca via vacanza's own language support (language='ca'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | Cap d'Any                                | 1 1                  | public          |  |  |  |
fixed         | Reis                                     | 1 6                  | public          |  |  |  |
easter        | Carnaval                                 | -48 gregorian        | public          |  |  |  |
fixed         | Dia de la Constitució                    | 3 14                 | public          |  |  |  |
easter        | Divendres Sant                           | -2 gregorian         | public          |  |  |  |
easter        | Dilluns de Pasqua                        | 1 gregorian          | public          |  |  |  |
fixed         | Festa del treball                        | 5 1                  | public          |  |  |  |
easter        | Dilluns de Pentecosta                    | 50 gregorian         | public          |  |  |  |
fixed         | Assumpció                                | 8 15                 | public          |  |  |  |
fixed         | Nostra Senyora de Meritxell              | 9 8                  | public          |  |  |  |
fixed         | Tots Sants                               | 11 1                 | public          |  |  |  |
fixed         | Immaculada Concepció                     | 12 8                 | public          |  |  |  |
fixed         | Nadal                                    | 12 25                | public          |  |  |  |
fixed         | Sant Esteve                              | 12 26                | public          |  |  |  |


# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed  | Vigília de Reis (a partir de les 13h) | 1 5 | government |  |  |  |
fixed  | Vigília de Nadal (a partir de les 13h) | 12 24 | government |  |  |  |
fixed  | Vigília de Cap d'Any (a partir de les 13h) | 12 31 | government |  |  |  |

# --- vacanza/holidays 0.101 category parity, decree-tabulated
# (year-varying: Easter/lunar/Hijri-relative or ephemeral) -- gazetted
# 2024/2025 dates taken directly from vacanza/holidays 0.101 (MIT)
# `country_holidays(cc, categories=(...))` output, per the house rule
# that permits vacanza-derived data when flagged as such (retrieved
# 2026-07-22). ---
decree | Dijous Sant (a partir de les 13h) | 2024-3-28 2025-4-17 | government |  |  |  |
#
# --- Canillo (AD-02) / La Massana (AD-04) / Ordino (AD-05) / Sant Julià de
#     Lòria (AD-06) / Andorra la Vella (AD-07) / Escaldes-Engordany (AD-08):
#     vacanza/holidays 0.101 (MIT) holidays/countries/andorra.py -- each
#     parish's patron/foundation day. Multi-day "Festa Major" festivals and
#     the movable Diada de Canòlich / Diada de la creació de la parròquia
#     are decree-tabulated 2024-2025 (not stable single-day fixed rules).
#     AD-03 (Encamp) carries no subdivision-specific holiday in vacanza and
#     is omitted.
fixed  | Sant Roc                               | 8 16 | public religious | AD-02 |
fixed  | Sant Antoni                            | 1 17 | public religious | AD-04 |
fixed  | Sant Pere                              | 6 29 | public religious | AD-05 |
fixed  | Sant Julià                             | 1 7  | public religious | AD-06 |
nth_weekday | Diada de Canòlich | 5 -1 5 | public religious | AD-06 | 
decree | Festa Major de Sant Julià de Lòria      | 2024-7-29 2024-7-30 2025-7-28 2025-7-29 2026-7-27 2026-7-28 2027-8-2 2027-8-3 | public | AD-06 |
decree | Festa Major d'Andorra la Vella          | 2024-8-3 2024-8-4 2024-8-5 2025-8-2 2025-8-3 2025-8-4 2026-8-1 2026-8-2 2026-8-3 2027-8-7 2027-8-8 2027-8-9 | public | AD-07 |
fixed  | Sant Miquel d'Engolasters               | 5 7  | public religious | AD-08 |
weekday_onbefore | Diada de la creació de la parròquia | 6 20 6 | public | AD-08 | 
decree | Festa Major d'Escaldes-Engordany        | 2024-7-25 2024-7-26 2025-7-25 2025-7-26 2026-7-25 2026-7-26 2027-7-25 2027-7-26 | public | AD-08 |
